timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-10-09,20.4600,21.1400,20.2100,20.7400,20.7400,71614400,0.0000,1.0000
2020-10-08,19.6600,20.7700,19.6000,20.6500,20.6500,65429000,0.0000,1.0000
2020-10-07,19.9800,20.0200,19.5800,19.6400,19.6400,29290600,0.0000,1.0000
2020-10-06,20.1500,20.3600,19.7200,19.8500,19.8500,30252801,0.0000,1.0000
2020-10-05,19.7200,20.0700,19.3600,19.9200,19.9200,34378000,0.0000,1.0000
2020-10-02,19.4100,20.3500,19.3400,19.6400,19.6400,51450800,0.0161,1.0000
2020-10-01,19.4500,19.5800,19.2200,19.5000,19.5000,23824100,0.0000,1.0000
2020-09-30,19.3500,19.5900,19.2600,19.4100,19.4100,32005200,0.0000,1.0000
2020-09-29,19.7500,19.7800,19.1900,19.2500,19.2500,45960301,0.0000,1.0000
2020-09-28,20.0500,20.6000,19.6000,19.7200,19.7200,68480703,0.0000,1.0000
2020-09-25,19.6900,19.7800,19.4700,19.7800,19.7636,17079000,0.0000,1.0000
2020-09-24,19.4400,19.9700,19.3900,19.8000,19.7836,33852900,0.0000,1.0000
2020-09-23,19.7500,19.8900,19.4000,19.4300,19.4139,26242100,0.0000,1.0000
2020-09-22,19.8200,20.1400,19.6800,19.9000,19.8835,24870900,0.0000,1.0000
2020-09-21,19.7000,19.8800,19.5000,19.7800,19.7636,47514600,0.0000,1.0000
2020-09-18,20.4700,20.5100,20.0400,20.0800,20.0634,61480000,0.0000,1.0000
2020-09-17,20.2700,20.6700,20.2400,20.5700,20.5530,25381900,0.0000,1.0000
2020-09-16,20.4800,20.8600,20.4000,20.5200,20.5030,35368900,0.0000,1.0000
2020-09-15,20.7500,20.7700,20.2900,20.4800,20.4631,37163200,0.0000,1.0000
2020-09-14,20.6600,20.7800,20.2200,20.7000,20.6829,56486100,0.0000,1.0000
2020-09-11,20.9000,20.9500,20.3300,20.4600,20.4431,38615000,0.0000,1.0000
2020-09-10,21.5200,21.6600,20.8100,20.8500,20.8328,45742200,0.0000,1.0000
2020-09-09,21.8000,21.9900,21.4300,21.5600,21.5422,29316000,0.0000,1.0000
2020-09-08,21.6700,21.8300,21.5000,21.6200,21.6021,27739700,0.0000,1.0000
2020-09-04,22.2900,22.4400,21.7800,21.9700,21.9518,47062200,0.0000,1.0000
2020-09-03,21.0600,22.2900,21.0500,21.9500,21.9318,106455800,0.0000,1.0000
2020-09-02,21.2900,21.3200,20.9100,21.1200,21.1025,27487900,0.0161,1.0000
2020-09-01,21.0500,21.3200,20.9700,21.1600,21.1264,41070300,0.0000,1.0000
2020-08-31,21.3000,21.3900,20.7400,20.7400,20.7071,46586000,0.0000,1.0000
2020-08-28,21.2400,21.5800,21.1100,21.4700,21.4359,36203900,0.0000,1.0000
2020-08-27,20.7600,21.3500,20.7000,21.0400,21.0066,35179600,0.0000,1.0000
2020-08-26,21.1500,21.2800,20.5000,20.7300,20.6971,37684500,0.0000,1.0000
2020-08-25,21.3500,21.4100,20.9400,21.1700,21.1364,24706800,0.0000,1.0000
2020-08-24,20.9200,21.4200,20.9100,21.1700,21.1364,31869300,0.0000,1.0000
2020-08-21,20.6700,20.8100,20.4600,20.7000,20.6671,24130400,0.0000,1.0000
2020-08-20,20.3800,20.8200,20.2800,20.7000,20.6671,33790600,0.0000,1.0000
2020-08-19,20.9200,21.0500,20.6300,20.7500,20.7170,53096100,0.0000,1.0000
2020-08-18,21.0900,21.1500,20.7100,20.8300,20.7969,41816600,0.0000,1.0000
2020-08-17,21.1500,21.2300,20.4000,20.6100,20.5773,50038600,0.0000,1.0000
2020-08-14,21.2800,21.4700,21.0600,21.2300,21.1963,33017900,0.0000,1.0000
2020-08-13,21.7500,21.9700,21.1200,21.2000,21.1663,32373600,0.0000,1.0000
2020-08-12,22.0100,22.2000,21.4300,21.6500,21.6156,43804300,0.0000,1.0000
2020-08-11,22.2900,22.4500,21.8500,21.8500,21.8152,32018100,0.0000,1.0000
2020-08-10,21.9500,22.2300,21.6800,22.0300,21.9950,28936100,0.0000,1.0000
2020-08-07,21.7100,22.5500,21.5200,21.8400,21.8053,58271300,0.0000,1.0000
2020-08-06,21.9000,22.2600,21.5600,21.9700,21.9351,41553100,0.0000,1.0000
2020-08-05,22.0300,22.1300,21.4300,21.8200,21.7854,37276800,0.0000,1.0000
2020-08-04,21.9300,22.4200,21.3300,21.7200,21.6854,67923500,0.0161,1.0000
2020-08-03,22.6700,22.7500,21.9800,22.2000,22.1487,55476700,0.0000,1.0000
2020-07-31,23.6000,23.6700,22.2800,22.4400,22.3881,75911000,0.0000,1.0000
